WERKS	MATNR	MAKTX	BUDAT	MENGE	MEINS	BWART	KOSTL
DE01	FUEL-DSL-001	Diesel Kraftstoff	01.01.2024	2500.000	L	201	KOST-4100
DE01	FUEL-DSL-001	Diesel Kraftstoff	15.01.2024	1800.000	L	261	KOST-4100
DE01	FUEL-HOL-001	Heizöl EL	08.01.2024	3200.000	L	201	KOST-4200
DE01	FUEL-DSL-001	Diesel Kraftstoff	01.02.2024	2750.000	L	201	KOST-4100
DE01	FUEL-HOL-001	Heizöl EL	05.02.2024	2900.000	L	201	KOST-4200
DE02	FUEL-DSL-001	Diesel Kraftstoff	10.01.2024	950.000	L	201	KOST-5100
DE02	FUEL-GAS-001	Erdgas	15.01.2024	1200.000	M3	201	KOST-5200
DE02	FUEL-DSL-001	Diesel Kraftstoff	10.02.2024	880.000	L	261	KOST-5100
DE02	FUEL-GAS-001	Erdgas	14.02.2024	1350.000	M3	201	KOST-5200
US01	FUEL-DSL-001	Diesel fuel	01/08/2024	680.000	GAL	201	KOST-6100
US01	FUEL-DSL-001	Diesel fuel	01/15/2024	720.000	GAL	261	KOST-6100
US02	FUEL-DSL-001	Diesel fuel	01/10/2024	1250.000	GAL	201	KOST-7100
US02	FUEL-GAS-002	Natural gas	01/10/2024	4500.000	CCF	201	KOST-7200
US02	FUEL-DSL-001	Diesel fuel	02/08/2024	1180.000	GAL	201	KOST-7100
US02	FUEL-GAS-002	Natural gas	02/12/2024	4200.000	CCF	201	KOST-7200
GB01	FUEL-DSL-001	Diesel fuel	05.01.2024	420.000	L	201	KOST-8100
GB01	FUEL-LPG-001	LPG cylinders	12.01.2024	180.000	KG	201	KOST-8200
GB01	FUEL-DSL-001	Diesel fuel	05.02.2024	390.000	L	201	KOST-8100
DE01	PACK-CARD-001	Cardboard packaging	18.01.2024	5000.000	KG	201	KOST-4900
DE01	PACK-CARD-001	Cardboard packaging	20.02.2024	4800.000	KG	201	KOST-4900
DE01	FUEL-DSL-001	Diesel Kraftstoff	01.03.2024	-150.000	L	201	KOST-4100
